Year,Month,Day,StockName,Positive,Negative,Neutral,Total Tweets,Close,Volume,Open,High,Low,Day_of_week
2020,3,12,paypal,0,1,0,1,96.96,20114390,96.56,104.78,94.5,Thursday
2020,3,13,apple,15,3,21,39,69.4925,370732120,66.2225,69.98,63.2375,Friday
2020,3,13,microsoft,11,6,14,31,158.83,92727450,147.5,161.91,140.73,Friday
2020,3,13,tesla,14,8,24,46,109.324,113201250,119,121.514,100.4,Friday
2020,3,13,nvidia,0,0,1,1,60.21,63483760,57.625,60.255,54.9025,Friday
2020,3,13,paypal,1,1,1,3,110.15,19170560,100.52,110.6,99.78,Friday
2020,3,14,apple,9,0,10,19,66.5125,354629240,64.31083333,68.24333333,62.15833333,Saturday
2020,3,14,microsoft,6,3,7,16,151.0266667,91120256.67,145,157.7233333,138.82,Saturday
2020,3,14,tesla,10,2,7,19,102.554,109616600,110.6333,114.0006667,96.41133333,Saturday
2020,3,14,nvidia,0,0,2,2,56.50666667,66554906.67,56.1175,59.01166667,52.76833333,Saturday
2020,3,15,apple,22,5,26,53,63.5325,338526360,62.39916667,66.50666667,61.07916667,Sunday
2020,3,15,microsoft,5,1,1,7,143.2233333,89513063.33,142.5,153.5366667,136.91,Sunday
2020,3,15,tesla,11,3,8,22,95.784,106031950,102.2666,106.4873333,92.42266667,Sunday
2020,3,15,nvidia,0,0,1,1,52.80333333,69626053.33,54.61,57.76833333,50.63416667,Sunday
2020,3,16,apple,14,6,15,35,60.5525,322423480,60.4875,64.77,60,Monday
2020,3,16,microsoft,11,11,11,33,135.42,87905870,140,149.35,135,Monday
2020,3,16,tesla,18,7,15,40,89.014,102447300,93.8999,98.974,88.434,Monday
2020,3,16,nvidia,0,0,3,3,49.1,72697200,53.1025,56.525,48.5,Monday
2020,3,17,apple,16,9,15,40,63.215,324055880,61.8775,64.4025,59.6,Tuesday
2020,3,17,microsoft,9,6,14,29,146.57,81059820,140,147.4998,135,Tuesday
2020,3,17,tesla,21,12,28,61,86.04,119972900,88.002,94.37,79.2,Tuesday
2020,3,17,nvidia,1,0,4,5,54.3175,83363200,50.2275,55.215,47.75,Tuesday
2020,3,17,paypal,0,0,1,1,97.87,17969390,94.5,101.08,90.52,Tuesday
2020,3,18,apple,24,4,17,45,61.6675,300233640,59.9425,62.5,59.28,Wednesday
2020,3,18,microsoft,5,2,9,16,140.4,81593170,138,146,135.02,Wednesday
2020,3,18,tesla,38,24,28,90,72.244,118930800,77.8,80.972,70.102,Wednesday
2020,3,18,nvidia,3,0,5,8,50.705,87426640,50.0238,52.485,45.1702,Wednesday
2020,3,18,paypal,1,0,1,2,91.46,16073260,91.855,95.1,86.15,Wednesday
2020,3,19,apple,19,1,10,30,61.195,271857040,61.8462,63.21,60.6525,Thursday
2020,3,19,microsoft,9,2,6,17,142.71,85922660,142.77,150.15,139,Thursday
2020,3,19,tesla,30,14,31,75,85.528,150977300,74.9394,90.4,71.692,Thursday
2020,3,19,nvidia,0,1,2,3,53.2425,76551400,50.49,54.1825,48.3475,Thursday
2020,3,19,paypal,0,0,1,1,93.69,12181580,91.56,98.06,87.04,Thursday
2020,3,20,apple,14,2,18,34,57.31,401693200,61.795,62.9575,57,Friday
2020,3,20,microsoft,7,2,5,14,137.35,84866220,146,147.1,135.86,Friday
2020,3,20,tesla,14,7,14,35,85.506,141427500,87.64,95.4,85.158,Friday
2020,3,20,nvidia,1,1,0,2,51.4375,80463400,54.75,57.58,51.2825,Friday
2020,3,20,paypal,1,0,0,1,86.68,14874410,95.64,96.23,86.21,Friday
2020,3,21,apple,8,0,7,15,56.90416667,380046413.3,60.20333333,61.0133,55.7175,Saturday
2020,3,21,microsoft,1,0,3,4,136.8933333,82902540,143.0033333,144.9233333,134.7466667,Saturday
2020,3,21,tesla,4,2,8,14,85.95666667,121709250,87.33333333,93.06666667,84.13866667,Saturday
2020,3,21,nvidia,1,1,3,5,52.305,72425440,53.08875,55.85,50.45625,Saturday
2020,3,22,apple,11,5,9,25,56.49833333,358399626.7,58.61166667,59.0691,54.435,Sunday
2020,3,22,microsoft,3,2,2,7,136.4366667,80938860,140.0066667,142.7466667,133.6333333,Sunday
2020,3,22,tesla,8,2,8,18,86.40733333,101991000,87.02666667,90.73333333,83.11933333,Sunday
2020,3,23,apple,13,1,13,27,56.0925,336752840,57.02,57.1249,53.1525,Monday
2020,3,23,microsoft,4,2,4,10,135.98,78975180,137.01,140.57,132.52,Monday
2020,3,23,tesla,12,4,13,29,86.858,82272750,86.72,88.4,82.1,Monday
2020,3,23,nvidia,0,0,2,2,53.1725,64387480,51.4275,54.12,49.63,Monday
2020,3,24,apple,27,3,21,51,61.72,287531080,59.09,61.9225,58.575,Tuesday
2020,3,24,microsoft,12,3,8,23,148.34,82516730,143.75,149.6,141.27,Tuesday
2020,3,24,tesla,21,14,21,56,101,114475850,95.46,102.738,94.8,Tuesday
2020,3,24,nvidia,3,3,6,12,62.295,110164400,57.25,63.165,57.0125,Tuesday
2020,3,25,apple,14,0,21,35,61.38,303602040,62.6875,64.5625,61.075,Wednesday
2020,3,25,microsoft,7,0,9,16,146.92,75638220,148.91,154.33,144.44,Wednesday
2020,3,25,tesla,26,5,24,55,107.85,106113750,109.05,111.4,102.222,Wednesday
2020,3,25,nvidia,0,2,3,5,61.405,79343080,63.45,65.455,60.915,Wednesday
2020,3,26,apple,19,4,14,37,64.61,252560680,61.63,64.67,61.59,Thursday
2020,3,26,microsoft,8,3,7,18,156.11,64694430,148.4,156.66,148.37,Thursday
2020,3,26,tesla,20,8,15,43,105.632,87110400,109.478,112,102.45,Thursday
2020,3,26,nvidia,3,0,3,6,64.31,69758760,63.485,65.555,62.5,Thursday
2020,3,27,apple,20,5,12,37,61.935,204216600,63.1875,63.9675,61.7625,Friday
2020,3,27,microsoft,6,2,9,17,149.7,57042290,151.75,154.89,149.2,Friday
2020,3,27,tesla,9,4,13,26,102.872,71887050,101,105.16,98.806,Friday
2020,3,27,nvidia,2,0,1,3,63.1825,63882960,62.5,65.7794,62.17,Friday
2020,3,28,apple,7,2,10,19,62.52416667,192136546.7,63.02,63.93833333,61.95833333,Saturday
2020,3,28,microsoft,6,3,5,14,153.21,59168303.33,151.98,156.7933333,149.47,Saturday
2020,3,28,tesla,8,5,6,19,102.0566667,67921483.33,101.3506667,104.5498,98.61933333,Saturday
2020,3,28,nvidia,0,0,1,1,64.25416667,62663640,62.94666667,66.01626667,62.57916667,Saturday
2020,3,29,apple,9,3,5,17,63.11333333,180056493.3,62.8525,63.90916667,62.15416667,Sunday
2020,3,29,microsoft,2,2,1,5,156.72,61294316.67,152.21,158.6966667,149.74,Sunday
2020,3,29,tesla,8,6,11,25,101.2413333,63955916.67,101.7013333,103.9396,98.43266667,Sunday
2020,3,29,nvidia,1,0,0,1,65.32583333,61444320,63.39333333,66.25313333,62.98833333,Sunday
2020,3,30,apple,11,1,7,19,63.7025,167976440,62.685,63.88,62.35,Monday
2020,3,30,microsoft,12,4,11,27,160.23,63420330,152.44,160.6,150.01,Monday
2020,3,30,tesla,11,3,3,17,100.426,59990350,102.052,103.3294,98.246,Monday
2020,3,30,nvidia,5,0,2,7,66.3975,60225000,63.84,66.49,63.3975,Monday
2020,3,31,apple,15,2,5,22,63.5725,197002000,63.9,65.6225,63,Tuesday
2020,3,31,microsoft,7,3,12,22,157.71,77927190,159.4,164.78,156.56,Tuesday
2020,3,31,tesla,19,5,12,36,104.8,88857450,100.25,108.592,99.4,Tuesday
2020,3,31,nvidia,2,0,3,5,65.9,94996040,66.8,68.85,64.4375,Tuesday
2020,3,31,paypal,1,0,1,2,95.74,9882034,96.38,99.4314,94.87,Tuesday
2020,4,1,apple,11,1,12,24,60.2275,176218560,61.625,62.18,59.7825,Wednesday
2020,4,1,microsoft,18,2,7,27,152.11,57969930,153,157.75,150.82,Wednesday
2020,4,1,tesla,12,7,12,31,96.312,66765900,100.8,102.791,95.02,Wednesday
2020,4,1,nvidia,3,0,2,5,60.7675,65691320,63.9125,65.3825,60.32,Wednesday
2020,4,2,apple,8,1,10,19,61.2325,165933960,60.085,61.2875,59.225,Thursday
2020,4,2,microsoft,18,4,9,31,155.26,49630740,151.86,155.48,150.36,Thursday
2020,4,2,tesla,37,10,26,73,90.894,99292150,96.206,98.852,89.28,Thursday
2020,4,2,nvidia,1,0,2,3,63.8675,67576440,61.06,64,60.5775,Thursday
2020,4,3,apple,15,3,14,32,60.3525,129880080,60.7,61.425,59.7435,Friday
2020,4,3,microsoft,12,6,8,26,153.83,41243280,155.1,157.38,152.19,Friday
2020,4,3,tesla,26,6,29,61,96.002,112810400,101.9,103.098,93.678,Friday
2020,4,3,nvidia,1,1,4,6,60.9775,66321400,63.49,63.9075,59.5975,Friday
2020,4,4,apple,8,3,3,14,62.1075,153860146.7,61.375,62.87583333,60.61066667,Saturday
2020,4,4,microsoft,4,2,2,8,157.6433333,49866086.67,156.84,160.42,153.9866667,Saturday
2020,4,4,tesla,7,5,6,18,98.41733333,100043333.3,102.0133333,103.4653333,95.64933333,Saturday
2020,4,4,nvidia,0,1,1,2,63.01833333,68477013.33,63.59666667,65.095,60.80916667,Saturday
2020,4,4,paypal,0,1,0,1,100.79,10388477,101.005,104.0657,99.825,Saturday
2020,4,5,apple,3,2,2,7,63.8625,177840213.3,62.05,64.32666667,61.47783333,Sunday
2020,4,5,microsoft,8,3,2,13,161.4566667,58488893.33,158.58,163.46,155.7833333,Sunday
2020,4,5,tesla,11,4,6,21,100.8326667,87276266.67,102.1266667,103.8326667,97.62066667,Sunday
2020,4,5,nvidia,1,0,2,3,65.05916667,70632626.67,63.70333333,66.2825,62.02083333,Sunday
2020,4,6,apple,17,2,11,30,65.6175,201820280,62.725,65.7775,62.345,Monday
2020,4,6,microsoft,16,2,7,25,165.27,67111700,160.32,166.5,157.58,Monday
2020,4,6,tesla,13,4,15,32,103.248,74509200,102.24,104.2,99.592,Monday
2020,4,6,nvidia,1,0,1,2,67.1,72788240,63.81,67.47,63.2325,Monday
2020,4,7,apple,20,2,16,38,64.8575,202887320,67.7,67.925,64.75,Tuesday
